# VRP Standard Map 05 — High Volume Urban
# 1 warehouse (centre), 25 customers spread densely across the map, 25 parcels, 5 agents
# Coordinate grid: 0-100 x 0-100
# Total capacity: 30 (5 x 6), slack 5 — one free slot per agent for dynamic additions
# Routing challenge: high parcel-to-agent ratio; capacity constraint forces agents
#   to cover overlapping zones, making assignment quality critical.

WAREHOUSE 50 50

# Inner ring (~radius 22)
CUSTOMER 1  72 50
CUSTOMER 2  65 65
CUSTOMER 3  50 72
CUSTOMER 4  35 65
CUSTOMER 5  28 50
CUSTOMER 6  35 35
CUSTOMER 7  50 28
CUSTOMER 8  65 35

# Outer ring (~radius 40)
CUSTOMER 9  90 50
CUSTOMER 10 85 68
CUSTOMER 11 75 80
CUSTOMER 12 60 88
CUSTOMER 13 50 90
CUSTOMER 14 38 85
CUSTOMER 15 22 75
CUSTOMER 16 12 62
CUSTOMER 17 10 50
CUSTOMER 18 15 35
CUSTOMER 19 25 20
CUSTOMER 20 40  8
CUSTOMER 21 55 10
CUSTOMER 22 70 18
CUSTOMER 23 82 28
CUSTOMER 24 88 40

# Scattered interior (fills dead zones between rings)
CUSTOMER 25 58 58

# Parcels — one per customer
PARCEL 1  DEST 1
PARCEL 2  DEST 2
PARCEL 3  DEST 3
PARCEL 4  DEST 4
PARCEL 5  DEST 5
PARCEL 6  DEST 6
PARCEL 7  DEST 7
PARCEL 8  DEST 8
PARCEL 9  DEST 9
PARCEL 10 DEST 10
PARCEL 11 DEST 11
PARCEL 12 DEST 12
PARCEL 13 DEST 13
PARCEL 14 DEST 14
PARCEL 15 DEST 15
PARCEL 16 DEST 16
PARCEL 17 DEST 17
PARCEL 18 DEST 18
PARCEL 19 DEST 19
PARCEL 20 DEST 20
PARCEL 21 DEST 21
PARCEL 22 DEST 22
PARCEL 23 DEST 23
PARCEL 24 DEST 24
PARCEL 25 DEST 25

# Agents — 5 agents, capacity 6 each
AGENT 1 CAPACITY 6
AGENT 2 CAPACITY 6
AGENT 3 CAPACITY 6
AGENT 4 CAPACITY 6
AGENT 5 CAPACITY 6
